Channel,ThetaPower,AlphaPower,BetaPower
Fp1,6.66763877868652,1.46537518501282,1.65845084190369
Fp2,7.38252305984497,1.84838366508484,1.64686560630798
F3,5.68412065505981,2.00132203102112,2.67583560943604
F4,2.70901012420654,0.783528208732605,0.722556591033936
C3,2.94785261154175,1.26043701171875,1.96650838851929
C4,1.78831779956818,0.848656415939331,2.0030620098114
P3,6.40349102020264,1.69536352157593,1.43366897106171
P4,6.53538417816162,1.77306604385376,1.54536533355713
O1,5.81648778915405,1.2209507226944,0.924960911273956
O2,7.11963796615601,1.68819892406464,1.33005845546722
F7,6.40306377410889,1.43058550357819,1.32668125629425
F8,6.25904369354248,1.40393614768982,1.27159702777863
T3,2.8809118270874,0.976513743400574,1.61398231983185
T4,2.86454558372498,0.860885500907898,1.26761674880981
T5,2.16951465606689,0.6081183552742,0.946472883224487
T6,5.15865659713745,2.17833375930786,2.27850246429443
Fz,5.5704927444458,1.6572048664093,1.6339807510376
Cz,4.47440338134766,1.2663140296936,2.03969788551331
Pz,9.38033866882324,1.85943686962128,1.12283229827881
