Channel,ThetaPower,AlphaPower,BetaPower
Fp1,5.8625283241272,1.35521650314331,1.63622164726257
Fp2,6.65029239654541,1.7663140296936,1.58836507797241
F3,5.29661703109741,1.91780281066895,2.67274498939514
F4,3.01714849472046,1.30563473701477,2.26141571998596
C3,3.05477452278137,1.26695322990417,1.92298126220703
C4,2.06111979484558,0.911065340042114,2.04996776580811
P3,7.20369911193848,1.83686649799347,1.43348944187164
P4,7.55015277862549,2.02395057678223,1.62963652610779
O1,6.3401517868042,1.46019017696381,1.18957591056824
O2,6.93198204040527,1.92086672782898,1.64887046813965
F7,6.13814687728882,1.35725462436676,1.23900377750397
F8,5.5605092048645,1.24366796016693,1.14247071743011
T3,2.46364378929138,0.900635480880737,1.45997989177704
T4,2.40324187278748,0.755997240543365,1.22432947158813
T5,2.9076361656189,0.801208555698395,1.20929086208344
T6,5.65419960021973,2.26587009429932,2.34176969528198
Fz,5.18586397171021,1.60609483718872,1.61378645896912
Cz,4.82888889312744,1.32392799854279,2.05889534950256
