Channel,ThetaPower,AlphaPower,BetaPower
Fp1,4.81705522537231,1.36906886100769,1.14674115180969
Fp2,5.92070484161377,1.81332910060883,1.41829752922058
F3,5.91305923461914,2.26537585258484,2.86252522468567
F4,4.11775350570679,1.60033428668976,2.25243782997131
C3,2.74330949783325,1.22175455093384,1.90607488155365
C4,2.8244411945343,1.14594125747681,1.86411619186401
P3,5.80344486236572,1.71201741695404,1.54784798622131
P4,5.81273078918457,1.73411452770233,1.44801211357117
O1,7.00703239440918,2.51701736450195,2.34899854660034
O2,7.8330774307251,2.54804682731628,2.17735910415649
F7,7.40893411636353,2.06995415687561,2.06824493408203
F8,5.96653079986572,1.90991449356079,1.99965643882751
T3,3.38803744316101,1.12977135181427,1.40938353538513
T4,3.4428870677948,1.39809381961823,2.17157626152039
T5,6.19685935974121,3.53701567649841,4.11067819595337
T6,5.1499810218811,2.21126532554626,2.10834574699402
Fz,5.71088409423828,1.79763185977936,1.67054271697998
Cz,4.35561370849609,1.25121438503265,1.96436131000519
Pz,7.74226760864258,1.63617861270905,1.05903911590576
