Channel,ThetaPower,AlphaPower,BetaPower
Fp1,2.87922692298889,34.9032211303711,2.8051815032959
Fp2,3.03395938873291,36.7584915161133,2.74234509468079
F3,3.85774517059326,24.0987224578857,5.72208833694458
F4,3.13011193275452,26.9172496795654,3.82096862792969
C3,3.39712762832642,15.0674285888672,5.35956573486328
C4,2.32227563858032,10.975191116333,4.39687633514404
P3,5.14765548706055,62.8154258728027,5.23071765899658
P4,3.6439356803894,27.1758098602295,5.34851217269897
O1,10.2231979370117,104.210647583008,6.01835346221924
O2,7.74806976318359,80.3841018676758,5.46804428100586
F7,3.89883947372437,27.7834148406982,3.53743457794189
F8,2.45920038223267,31.4169235229492,2.00192785263062
T3,5.52119207382202,15.1949081420898,4.97530221939087
T4,4.39100646972656,15.3037729263306,4.90340709686279
T5,10.0747737884521,63.6558799743652,5.92882633209229
T6,6.08969402313232,35.4492378234863,5.67648696899414
Fz,3.60572791099548,29.1913928985596,3.69686079025269
Cz,4.63299989700317,15.5158081054688,4.22221803665161
Pz,5.34676265716553,59.3793792724609,3.98095607757568
