,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,30.0,33.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,27.0,27.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,31.0,31.0,30.0,33.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,26.0,28.0,31.0,29.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,30.0,29.0,32.0,33.0,29.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,31.0,35.0,25.0,27.0,31.0,27.0,35.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,33.0,29.0,29.0,27.0,25.0,31.0,29.0,35.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,31.0,26.0,29.0,28.0,29.0,26.0,25.0,26.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,26.0,30.0,28.0,31.0,25.0,30.0,25.0,28.0,32.0,29.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,32.0,29.0,30.0,31.0,33.0,24.0,32.0,28.0,30.0,28.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,29.0,28.0,27.0,25.0,27.0,28.0,26.0,31.0,29.0,30.0,22.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,34.0,35.0,30.0,31.0,31.0,22.0,35.0,30.0,34.0,27.0,30.0,31.0,31.0,26.0,0.0,0.0,0.0,0.0,0.0
P8,34.0,31.0,32.0,25.0,26.0,33.0,26.0,35.0,30.0,34.0,30.0,30.0,26.0,31.0,23.0,0.0,0.0,0.0,0.0
Fz,34.0,34.0,29.0,28.0,31.0,34.0,33.0,35.0,32.0,33.0,32.0,33.0,28.0,27.0,29.0,27.0,0.0,0.0,0.0
Cz,35.0,34.0,33.0,33.0,30.0,26.0,33.0,35.0,33.0,34.0,33.0,30.0,29.0,24.0,32.0,32.0,34.0,0.0,0.0
Pz,33.0,33.0,33.0,30.0,25.0,31.0,27.0,29.0,34.0,35.0,26.0,29.0,22.0,24.0,33.0,33.0,35.0,35.0,0.0
