Subject,ICsRejected,ThetaMean,AlphaMean,BetaMean
sub-004,8,0.6206,0.1863,0.1931
sub-001,5,0.5855,0.1997,0.2147
sub-002,4,0.1876,0.6114,0.2010
sub-003,3,0.2780,0.6621,0.0599
sub-037,4,0.1021,0.8022,0.0958
sub-038,5,0.1409,0.4935,0.3656
sub-039,1,0.1162,0.6773,0.2065
sub-040,4,0.1325,0.6669,0.2006
sub-066,3,0.4774,0.4104,0.1122
sub-067,7,0.0884,0.4291,0.4825
sub-068,5,0.1175,0.6757,0.2068
sub-069,2,0.5028,0.3929,0.1044
sub-005,7,0.3783,0.3442,0.2775
sub-006,2,0.0579,0.7486,0.1935
sub-007,2,0.5805,0.2313,0.1882
sub-008,8,0.5284,0.2400,0.2316
sub-009,4,0.1964,0.6100,0.1936
sub-010,4,0.1195,0.5103,0.3702
sub-011,4,0.3532,0.4976,0.1491
sub-012,3,0.1546,0.5178,0.3276
sub-013,6,0.5360,0.2791,0.1849
sub-014,11,0.5224,0.2129,0.2647
sub-015,4,0.1682,0.6702,0.1616
sub-016,5,0.5723,0.2296,0.1981
sub-041,7,0.0514,0.5202,0.4284
sub-042,4,0.1069,0.6327,0.2604
sub-043,4,0.2600,0.3639,0.3760
sub-044,1,0.1276,0.6406,0.2318
sub-045,4,0.2412,0.4421,0.3167
sub-046,3,0.1645,0.5624,0.2731
sub-047,3,0.0915,0.7204,0.1881
sub-048,4,0.1248,0.6465,0.2287
sub-049,4,0.0852,0.7113,0.2035
sub-050,3,0.1775,0.6360,0.1866
sub-051,6,0.1137,0.6024,0.2839
sub-052,4,0.1268,0.5760,0.2972
sub-070,6,0.2347,0.3514,0.4139
sub-071,2,0.1381,0.5476,0.3143
sub-072,3,0.5891,0.2489,0.1620
sub-073,2,0.2437,0.5922,0.1641
sub-074,4,0.2425,0.5649,0.1926
sub-075,5,0.1837,0.5564,0.2599
sub-076,6,0.1840,0.2374,0.5786
sub-077,7,0.1781,0.3462,0.4757
sub-078,6,0.2119,0.2587,0.5295
sub-079,5,0.1166,0.5615,0.3218
sub-080,3,0.0538,0.7804,0.1658
sub-081,6,0.3732,0.4622,0.1646
sub-017,5,0.5889,0.2596,0.1515
sub-018,3,0.4365,0.3441,0.2194
sub-019,2,0.1475,0.4633,0.3893
sub-020,6,0.4243,0.3390,0.2367
sub-021,5,0.2440,0.3560,0.4000
sub-022,6,0.4431,0.3472,0.2097
sub-023,5,0.3083,0.4315,0.2602
sub-024,3,0.5887,0.2831,0.1282
sub-025,2,0.0738,0.7792,0.1470
sub-026,5,0.5037,0.2874,0.2089
sub-027,7,0.7618,0.1134,0.1248
sub-028,2,0.5813,0.2697,0.1490
sub-029,6,0.6481,0.2007,0.1512
sub-030,5,0.6271,0.2303,0.1426
sub-031,4,0.1923,0.6476,0.1601
sub-032,5,0.3729,0.3679,0.2592
sub-033,3,0.1683,0.3895,0.4422
sub-034,2,0.4237,0.2671,0.3092
sub-035,7,0.5028,0.2826,0.2145
sub-036,3,0.1331,0.4923,0.3745
sub-053,6,0.1357,0.7011,0.1632
sub-054,3,0.1262,0.6807,0.1930
sub-055,5,0.0705,0.4590,0.4705
sub-056,1,0.1090,0.7195,0.1715
sub-057,4,0.1558,0.6177,0.2266
sub-058,3,0.0729,0.6139,0.3132
sub-059,5,0.1282,0.4437,0.4281
sub-060,4,0.1175,0.2595,0.6230
sub-061,4,0.1086,0.7746,0.1168
sub-062,6,0.0654,0.8314,0.1031
sub-063,4,0.1573,0.4805,0.3622
sub-064,3,0.0620,0.7864,0.1516
sub-065,5,0.0979,0.5170,0.3851
sub-082,3,0.1618,0.6479,0.1904
sub-083,7,0.1816,0.3512,0.4672
sub-084,4,0.5876,0.1988,0.2136
sub-085,6,0.5805,0.1488,0.2707
sub-086,7,0.2242,0.4813,0.2945
sub-087,6,0.2882,0.4344,0.2773
sub-088,5,0.1958,0.5711,0.2330
