,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,24.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,21.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,26.0,26.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,23.0,23.0,16.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,20.0,18.0,23.0,23.0,27.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,18.0,19.0,19.0,25.0,20.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,26.0,27.0,14.0,20.0,24.0,20.0,27.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,27.0,26.0,17.0,18.0,19.0,23.0,23.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,22.0,19.0,21.0,21.0,21.0,19.0,16.0,19.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,21.0,23.0,24.0,24.0,24.0,23.0,20.0,19.0,25.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,20.0,19.0,19.0,19.0,22.0,15.0,21.0,14.0,19.0,17.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,18.0,18.0,18.0,16.0,18.0,18.0,17.0,19.0,19.0,16.0,16.0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,22.0,25.0,16.0,22.0,26.0,16.0,28.0,18.0,27.0,20.0,21.0,23.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0
P8,23.0,21.0,17.0,15.0,11.0,21.0,22.0,27.0,19.0,25.0,21.0,23.0,16.0,19.0,15.0,0.0,0.0,0.0,0.0
Fz,26.0,27.0,16.0,19.0,26.0,22.0,27.0,26.0,21.0,26.0,24.0,23.0,21.0,16.0,17.0,15.0,0.0,0.0,0.0
Cz,25.0,26.0,24.0,24.0,21.0,17.0,26.0,25.0,23.0,22.0,21.0,24.0,12.0,17.0,20.0,22.0,27.0,0.0,0.0
Pz,21.0,24.0,22.0,27.0,25.0,24.0,22.0,19.0,26.0,25.0,17.0,21.0,15.0,14.0,23.0,23.0,27.0,27.0,0.0
