,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T7,T8,P7,P8,Fz,Cz,Pz
Fp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,17.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,20.0,18.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,19.0,20.0,19.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,20.0,19.0,21.0,18.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,17.0,14.0,17.0,19.0,15.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,22.0,22.0,17.0,17.0,19.0,17.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,19.0,21.0,16.0,11.0,13.0,20.0,19.0,21.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,19.0,18.0,17.0,15.0,20.0,14.0,17.0,15.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,18.0,18.0,17.0,18.0,12.0,17.0,18.0,15.0,20.0,17.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T7,20.0,17.0,17.0,14.0,19.0,11.0,20.0,17.0,17.0,19.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,18.0,18.0,15.0,15.0,14.0,14.0,18.0,19.0,18.0,16.0,13.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,20.0,20.0,19.0,17.0,20.0,12.0,21.0,14.0,20.0,19.0,20.0,18.0,20.0,17.0,0.0,0.0,0.0,0.0,0.0
P8,18.0,17.0,16.0,12.0,10.0,18.0,20.0,21.0,16.0,19.0,15.0,15.0,12.0,17.0,16.0,0.0,0.0,0.0,0.0
Fz,19.0,22.0,17.0,17.0,15.0,21.0,21.0,16.0,20.0,20.0,17.0,22.0,16.0,17.0,18.0,15.0,0.0,0.0,0.0
Cz,20.0,20.0,22.0,19.0,17.0,19.0,23.0,21.0,23.0,22.0,19.0,22.0,19.0,19.0,19.0,19.0,22.0,0.0,0.0
Pz,19.0,20.0,17.0,18.0,18.0,20.0,18.0,18.0,22.0,20.0,19.0,13.0,16.0,19.0,22.0,18.0,23.0,23.0,0.0
