Channel,ThetaPower,AlphaPower,BetaPower
Fp1,4.83512115478516,1.37300264835358,1.14997315406799
Fp2,5.9296703338623,1.81383311748505,1.41890525817871
F3,5.92084312438965,2.26764988899231,2.86395263671875
F4,4.12015342712402,1.60129833221436,2.25408220291138
C3,2.73884344100952,1.21987843513489,1.90457475185394
C4,2.83165788650513,1.1485424041748,1.86772882938385
P3,5.80630445480347,1.71189701557159,1.54773199558258
P4,5.8235912322998,1.73695826530457,1.45103311538696
O1,7.00666379928589,2.51672744750977,2.34874200820923
O2,7.83802890777588,2.54953670501709,2.17841529846191
F7,7.41858530044556,2.07217693328857,2.07024240493774
F8,5.97545146942139,1.91212618350983,2.00235557556152
T3,3.3812882900238,1.12776494026184,1.40763342380524
T4,3.44048976898193,1.39775288105011,2.17207622528076
T5,6.19697523117065,3.53712224960327,4.11108112335205
T6,5.15617179870605,2.21364641189575,2.11044120788574
Fz,5.7115364074707,1.79772329330444,1.67044532299042
Cz,4.35632371902466,1.25114679336548,1.96448957920074
Pz,7.74943447113037,1.63733744621277,1.06004869937897
